District ID,District Name,School ID,School Name,F5,School Year,Total,4 Year Olds Program,F9,Early Kindergarten,Kindergarten,Total K,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,Table Name,School year (fall),School Name (group)
1198,RSU 80/MSAD 04,1479,Guilford Primary School,null,2006-07,113,-,null,-,null,-,null,50,63,null,null,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Guilford Primary School
1198,RSU 80/MSAD 04,1480,Piscataquis Community H S,null,2006-07,300,-,null,-,null,-,null,null,null,null,null,null,null,null,72,85,81,62,2006-2007.csv,9/1/06,Piscataquis Community H S
1198,RSU 80/MSAD 04,1481,Piscataquis Community Middle Sch,null,2006-07,286,-,null,-,null,-,null,null,null,54,60,50,62,60,null,null,null,null,2006-2007.csv,9/1/06,Piscataquis Community Middle Sch
1199,MSAD 05,1485,Owls Head Central School,null,2006-07,103,-,null,-,null,-,null,null,36,36,31,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Owls Head Central School
1199,MSAD 05,1487,South School,null,2006-07,260,-,null,-,null,-,null,134,63,60,3,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,South School
1199,MSAD 05,1488,Rockland District High School,null,2006-07,455,-,null,-,null,-,null,null,null,null,null,null,null,null,118,128,100,109,2006-2007.csv,9/1/06,Rockland District High School
1199,MSAD 05,1489,Rockland District Middle School,null,2006-07,343,-,null,-,null,-,null,null,null,null,null,105,124,114,null,null,null,null,2006-2007.csv,9/1/06,Rockland District Middle School
1200,RSU 06/MSAD 06,1492,Frank Jewett School,null,2006-07,262,-,null,-,null,-,null,56,93,46,67,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Frank Jewett School
1200,RSU 06/MSAD 06,1494,Samuel D Hanson School,null,2006-07,86,-,null,-,null,-,null,null,null,70,16,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Samuel D Hanson School
1200,RSU 06/MSAD 06,1495,Bonny Eagle Middle School,null,2006-07,972,-,null,-,null,-,null,null,null,null,null,303,314,355,null,null,null,null,2006-2007.csv,9/1/06,Bonny Eagle Middle School
1200,RSU 06/MSAD 06,1499,George E Jack School,null,2006-07,247,-,null,-,null,-,null,null,null,129,118,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,George E Jack School
1200,RSU 06/MSAD 06,1500,Bonny Eagle High School,null,2006-07,"1,279",-,null,-,null,-,null,null,null,null,null,null,null,null,313,334,296,336,2006-2007.csv,9/1/06,Bonny Eagle High School
1203,RSU 09/MSAD 09,1506,Mt Blue Middle School,null,2006-07,399,-,null,-,null,-,null,null,null,null,null,null,193,206,null,null,null,null,2006-2007.csv,9/1/06,Mt Blue Middle School
1203,RSU 09/MSAD 09,1507,Mt Blue High School,null,2006-07,846,-,null,-,null,-,null,null,null,null,null,null,null,null,213,197,225,211,2006-2007.csv,9/1/06,Mt Blue High School
