Amount,Candidate or committee,Candidate,Recipient,Type of contribution,Date,Employer,Occupation,Purpose,Source
$375 ,Charting Maine's Future,MASON GARRETT PAUL,N. Laurence Willey Jr.,PAC,5/18/16,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Brian D Langley,PAC,5/18/16,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Eric L Brakey,PAC,5/20/16,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,William J Gombar,PAC,5/21/16,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Amy F Volk,PAC,5/23/16,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Brett D Baber,PAC,5/25/16,,,,Maine Ethics Commission
($375),Charting Maines Future,MASON GARRETT PAUL,Emily G Smith,PAC,5/25/16,,,,Maine Ethics Commission
$375 ,Charting Maines Future,MASON GARRETT PAUL,Emily G Smith,PAC,5/25/16,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Andre E Cushing,PAC,5/26/16,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Ryan R Mcdonald,PAC,5/31/16,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Michael D Thibodeau,PAC,6/1/16,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Theodor G Short,PAC,6/6/16,,,,Maine Ethics Commission
"$4,901 ",Charting Maine's Future,MASON GARRETT PAUL,Maine Republican Party,PAC,8/4/16,,,,Maine Ethics Commission
$632 ,Charting Maine's Future,MASON GARRETT PAUL,Maine Republican Party,PAC,8/4/16,,,,Maine Ethics Commission
"$4,003 ",Charting Maine's Future,MASON GARRETT PAUL,Maine Republican Party,PAC,8/15/16,,,,Maine Ethics Commission
"$2,644 ",Charting Maine's Future,MASON GARRETT PAUL,Maine Republican Party,PAC,8/25/16,,,,Maine Ethics Commission
$500 ,Charting Maine's Future,MASON GARRETT PAUL,Oak Pac,PAC,9/3/16,,,,Maine Ethics Commission
$100 ,Charting Maine's Future,MASON GARRETT PAUL,Richard M Cebra,PAC,9/6/16,,,,Maine Ethics Commission
"$3,597 ",Charting Maine's Future,MASON GARRETT PAUL,Maine Republican Party,PAC,9/7/16,,,,Maine Ethics Commission
"$1,068 ",Charting Maine's Future,MASON GARRETT PAUL,Maine Republican Party,PAC,9/7/16,,,,Maine Ethics Commission
$621 ,Charting Maine's Future,MASON GARRETT PAUL,Maine Republican Party,PAC,9/7/16,,,,Maine Ethics Commission
"$3,172 ",Charting Maine's Future,MASON GARRETT PAUL,Maine Republican Party,PAC,9/7/16,,,,Maine Ethics Commission
"$1,063 ",Charting Maine's Future,MASON GARRETT PAUL,Maine Republican Party,PAC,9/14/16,,,,Maine Ethics Commission
"$7,800 ",Charting Maine's Future,MASON GARRETT PAUL,Maine Republican Party,PAC,9/14/16,,,,Maine Ethics Commission
"$4,900 ",Charting Maine's Future,MASON GARRETT PAUL,Maine Republican Party,PAC,9/14/16,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Andre E Cushing,PAC,10/4/16,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Brian D Langley,PAC,10/4/16,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Garrett Paul Mason,PAC,10/4/16,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Michael D Thibodeau,PAC,10/5/16,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Amy F Volk,PAC,10/18/16,,,,Maine Ethics Commission
